Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FD,OUT017,1686.1056248424743
FD,OUT045,2302.9955534294872
FD,OUT027,2954.3151576282953
FD,OUT017,2676.6976324974194
NC,OUT046,4111.367211211244
FD,OUT013,2852.782468952074
NC,OUT045,3397.718971509521
NC,OUT049,2972.0252529488243
FD,OUT027,3205.2624613802686
FD,OUT018,1673.5780153832184
DR,OUT049,3978.762574599794
NC,OUT045,3944.87629589671
DR,OUT045,2728.244259071311
FD,OUT019,3.613134906464211
FD,OUT046,2315.351714897319
DR,OUT019,2011.7186343128492
FD,OUT013,2267.83096588407
DR,OUT035,2605.8832127757237
FD,OUT018,1378.2719156698238
NC,OUT046,1572.343507312209
FD,OUT013,3047.4016516552365
FD,OUT017,2858.9768775018083
FD,OUT035,2021.1125477523576
FD,OUT046,3676.3434228698206
FD,OUT046,3601.3135631853847
FD,OUT045,677.6585157692175
FD,OUT010,1885.491592135313
FD,OUT045,2656.132093072957
FD,OUT027,4952.168177292876
FD,OUT027,3202.4773331526244
FD,OUT018,1327.1231824949998
NC,OUT013,1983.3606526303465
FD,OUT046,732.1515867929604
FD,OUT017,2319.457397267761
FD,OUT018,2049.629462724818
FD,OUT045,2889.4534956875004
NC,OUT013,1343.9448888802735
FD,OUT018,2217.5296678577324
FD,OUT017,1703.655084346687
FD,OUT017,2899.1730727993363
FD,OUT046,1996.8171696393867
DR,OUT019,1105.8375993996037
NC,OUT027,5399.167753461538
FD,OUT019,2053.989561443663
FD,OUT049,1037.706227068597
FD,OUT027,2287.029485797081
FD,OUT018,3623.6174570474323
FD,OUT010,675.9805433011413
FD,OUT046,3013.49496426354
FD,OUT010,0.0
FD,OUT027,5170.673197708996
FD,OUT035,1748.056219918508
DR,OUT027,3184.177000804753
FD,OUT046,944.1709449296382
FD,OUT013,1493.8728060382944
FD,OUT035,1720.811614767009
FD,OUT045,1762.397363971645
FD,OUT027,4313.879341975168
NC,OUT017,631.5740526834043
FD,OUT035,1520.0691631759494
FD,OUT049,1549.1650270135942
FD,OUT018,3163.2354229199645
FD,OUT027,4491.422534785673
FD,OUT045,1873.692247928727
FD,OUT018,332.3613619449022
FD,OUT018,1526.9154187437603
FD,OUT013,1796.358866202349
FD,OUT018,2588.2118507240803
FD,OUT013,1913.5566044823986
NC,OUT035,1899.0341733468535
FD,OUT010,0.0
DR,OUT049,1391.499967060834
FD,OUT019,482.10496054133023
FD,OUT018,365.2619906445045
FD,OUT049,1320.181647871766
FD,OUT019,0.0
FD,OUT013,2389.9649665245074
DR,OUT010,1096.3258725331418
FD,OUT046,659.659613584997
DR,OUT049,1682.7614321185215
NC,OUT035,2199.8968502480175
FD,OUT035,1620.7533806330805
NC,OUT045,1950.5115600383144
NC,OUT035,2570.5030394684504
FD,OUT027,4495.548719244777
NC,OUT017,1797.7644748628009
NC,OUT027,2349.741085359128
FD,OUT049,2020.9186392661995
FD,OUT045,3825.1290201120655
NC,OUT010,939.6868243644644
DR,OUT035,4221.434195569277
NC,OUT018,2203.0365789734133
FD,OUT013,2075.105159422611
FD,OUT018,564.2200521447983
FD,OUT049,1190.1182743291415
DR,OUT045,1175.8615012332166
DR,OUT049,1002.6056087430816
FD,OUT017,2628.1668306924125
NC,OUT035,3121.0516982918143
FD,OUT013,3699.82595993584
FD,OUT046,2915.1300049797173
FD,OUT049,1341.5093087859
FD,OUT010,0.0
FD,OUT027,2946.0192224606926
FD,OUT049,2897.312578916464
FD,OUT045,2303.252463304428
FD,OUT010,1161.6082737775964
FD,OUT045,2918.0161531216104
NC,OUT017,2641.476820300427
NC,OUT010,0.0
FD,OUT010,0.0
FD,OUT017,2467.650422366243
FD,OUT018,3364.775492313779
FD,OUT027,3460.0523206046746
FD,OUT027,4370.603936259668
FD,OUT027,2140.598379501307
DR,OUT027,5209.8332156631795
FD,OUT035,1919.4172733236567
FD,OUT018,2867.3232033028257
FD,OUT035,4067.9777639966373
NC,OUT017,974.5994367615622
NC,OUT010,0.0
NC,OUT049,1886.5965839050712
FD,OUT035,3348.339351869169
FD,OUT013,3829.8230015974095
DR,OUT049,3650.9262219527864
NC,OUT035,2829.7956802728017
FD,OUT046,1651.0888010658175
FD,OUT018,3438.0515742512644
FD,OUT046,2355.918030418598
FD,OUT019,1804.6576382431515
FD,OUT035,1039.5776990000732
NC,OUT027,3921.7044371637476
FD,OUT019,1638.6642881383425
FD,OUT017,3151.35771789022
FD,OUT046,2718.3105876361674
FD,OUT019,0.0
FD,OUT027,3420.8525367385473
DR,OUT045,2150.9946642492646
FD,OUT017,3081.7300266822313
FD,OUT045,2419.194742247641
FD,OUT018,1717.4241976225496
FD,OUT046,1919.8207588454354
FD,OUT049,4017.6955383045597
FD,OUT017,1425.2509464102532
FD,OUT035,3373.6607218917757
FD,OUT046,1844.5957453223834
FD,OUT027,3361.0672239189125
NC,OUT019,0.0
FD,OUT018,3082.5853985114045
FD,OUT017,1684.6856236283065
FD,OUT013,3802.526460754175
NC,OUT017,2250.199453006697
FD,OUT019,0.0
FD,OUT027,5396.556644251683
FD,OUT046,2478.507033172159
NC,OUT046,3755.327457970411
DR,OUT019,403.7791059502181
FD,OUT013,2300.0005279549823
FD,OUT046,2737.518672585251
FD,OUT035,3040.4399696137716
NC,OUT045,1754.459035627043
FD,OUT035,1517.231997538136
FD,OUT018,3373.4873189691707
NC,OUT046,2556.5658212092053
FD,OUT019,2168.66627250795
FD,OUT017,1651.2642868171426
FD,OUT013,4042.392986344337
FD,OUT010,708.6288553100972
FD,OUT035,1708.7423395906133
FD,OUT045,1573.1528188422085
FD,OUT046,1235.1091137065553
FD,OUT049,1967.263023595043
NC,OUT017,2178.397256236817
NC,OUT046,1850.841975009797
FD,OUT019,2006.7959540153608
FD,OUT017,2896.6679676510366
FD,OUT010,0.0
NC,OUT017,3513.5756620593884
FD,OUT010,357.521652283677
FD,OUT017,1749.8949618675215
FD,OUT010,0.0
FD,OUT017,2026.7518391879948
DR,OUT013,751.644455356605
NC,OUT049,733.2366157302072
FD,OUT010,0.0
FD,OUT017,4299.557267290289
FD,OUT045,3790.2838340357685
FD,OUT010,839.7700936470967
FD,OUT019,0.0
FD,OUT017,1774.641885972096
FD,OUT017,3653.1046179048394
NC,OUT035,1722.2461150806264
DR,OUT035,4019.4010385996817
FD,OUT027,3919.518208974793
FD,OUT046,1239.0393250637405
FD,OUT013,857.7199764174316
FD,OUT017,2946.2058435402787
NC,OUT049,2353.6086173148155
FD,OUT018,2266.0788193554763
FD,OUT027,3894.303647346708
FD,OUT049,3199.7679581771654
NC,OUT046,2667.5380244900803
NC,OUT018,2562.757146388822
NC,OUT017,2997.5041602097112
FD,OUT049,1869.2663500682938
FD,OUT027,3954.46094535228
FD,OUT017,3469.4673859064355
NC,OUT045,1732.5161715556765
NC,OUT027,3785.1358375914633
NC,OUT013,2355.731442433086
DR,OUT035,898.2842332910745
FD,OUT035,1462.5377123190474
FD,OUT049,2902.1297510628365
FD,OUT045,1048.043582411461
FD,OUT046,1897.3338122094142
FD,OUT018,1890.6091060119488
DR,OUT027,2965.9707030236923
FD,OUT018,2664.94657482798
NC,OUT017,2516.2316098411384
FD,OUT049,2622.157360423903
FD,OUT027,5404.909402645037
FD,OUT049,4022.6553456942934
FD,OUT019,276.9131109020875
FD,OUT049,1583.6941206203626
DR,OUT013,998.5464411551518
FD,OUT046,949.6103640532033
FD,OUT013,674.3273072878937
DR,OUT013,1889.71294868638
NC,OUT046,1756.1255779326038
FD,OUT027,2822.5914687829695
FD,OUT027,3877.138160394088
NC,OUT013,3076.841062396915
FD,OUT045,2004.6854109592082
NC,OUT045,2604.954579953782
FD,OUT010,483.1073919532671
DR,OUT018,403.901860267488
NC,OUT010,1948.5358310538822
DR,OUT017,2977.568690714248
NC,OUT046,3670.6721486983606
FD,OUT035,1821.6937160380828
FD,OUT035,1688.712667419453
FD,OUT035,2709.689528867947
NC,OUT027,4139.917427455031
NC,OUT046,1542.0315324018536
FD,OUT013,2845.3071181141677
FD,OUT027,4026.0549980661017
FD,OUT013,1431.146517002121
NC,OUT013,3501.9918906894454
NC,OUT018,1763.4020474046852
FD,OUT017,2112.5002167763173
NC,OUT017,1759.5347378065856
FD,OUT018,1089.28874022136
FD,OUT017,3801.4119911919615
FD,OUT046,2927.3993492431946
FD,OUT045,3635.1397362262182
FD,OUT018,1740.8024642858966
FD,OUT049,1724.8683337523232
NC,OUT018,1648.2426305418808
NC,OUT013,2787.9674302359253
FD,OUT045,3085.1931195065977
FD,OUT035,3334.114663639673
FD,OUT027,3547.549711289491
FD,OUT010,0.0
FD,OUT045,1940.3441010565982
FD,OUT035,1040.3678093407043
FD,OUT018,362.8522244071703
NC,OUT019,947.3142561072134
FD,OUT017,3498.1697662721544
FD,OUT017,4312.018537809146
FD,OUT019,0.0
NC,OUT017,1869.9916471491083
FD,OUT017,2070.073191657622
FD,OUT017,1146.388079166234
FD,OUT045,1497.0740082255097
NC,OUT027,3558.1281576493784
FD,OUT017,3250.3059348814295
FD,OUT018,2733.70531919478
DR,OUT017,688.5185978934451
FD,OUT049,2845.6837620599463
DR,OUT046,3760.974727996181
FD,OUT049,1946.139364520121
DR,OUT027,3204.8805242642534
FD,OUT017,2434.401893229988
FD,OUT027,4974.040433750611
FD,OUT046,2403.5053142568268
FD,OUT049,1718.4526511667539
NC,OUT045,2892.590242436032
FD,OUT013,866.4926321401235
FD,OUT019,0.0
DR,OUT035,774.1338655426953
FD,OUT013,3401.745148555303
NC,OUT018,2728.6739715091962
NC,OUT045,3631.561305716171
FD,OUT017,1018.0855722376887
FD,OUT049,2943.458102109058
FD,OUT013,2743.629783867769
FD,OUT010,1599.9537260558745
FD,OUT035,2451.466193133863
FD,OUT035,1668.3209258421
NC,OUT045,658.6819776475754
DR,OUT018,454.7624269695673
NC,OUT018,1641.101479558663
FD,OUT018,1524.9654435258562
FD,OUT035,1891.1370843191962
FD,OUT013,2667.0088677078706
FD,OUT046,2623.1409069970505
FD,OUT017,4001.903228029857
FD,OUT019,600.9607606450088
NC,OUT019,119.63309133783787
FD,OUT027,3955.940965917699
FD,OUT017,4206.834245244183
FD,OUT046,1607.5479509843906
FD,OUT017,4256.299747495467
FD,OUT010,1710.4606729284278
FD,OUT017,2498.985292055285
FD,OUT045,3253.737485784676
FD,OUT049,1756.3431981815795
FD,OUT035,3078.7423424531557
DR,OUT017,1475.5850596882763
FD,OUT019,0.0
FD,OUT045,1655.8184114821606
FD,OUT019,0.0
NC,OUT010,1035.1991417689862
FD,OUT046,2777.9375543986184
NC,OUT049,2107.3187455197776
FD,OUT045,1424.922839742893
FD,OUT046,2903.4938814316647
FD,OUT013,4038.088047412168
NC,OUT045,1908.0699359808602
FD,OUT019,854.9738770119732
FD,OUT017,2179.5252140923935
FD,OUT046,2491.535097071989
FD,OUT049,1555.7066430255593
FD,OUT045,1747.8721812964934
FD,OUT027,3219.1045217258543
NC,OUT018,1565.0852174275103
FD,OUT046,1902.4388974577432
NC,OUT035,1051.831641463727
FD,OUT027,3120.61124432603
FD,OUT019,0.0
NC,OUT046,2596.8617668883526
FD,OUT035,3192.8892153259376
FD,OUT049,970.2210387827074
FD,OUT045,2920.9481783188885
FD,OUT045,1403.3022747810978
NC,OUT010,321.3038621333924
NC,OUT049,3182.9524975977574
NC,OUT018,2532.5720017143976
FD,OUT045,862.2931968602688
FD,OUT018,2735.4312378061763
FD,OUT046,1818.6150845902318
NC,OUT019,0.0
FD,OUT049,3531.4121928258182
DR,OUT035,834.4926790386012
FD,OUT019,1701.600411478814
FD,OUT027,4409.749842850689
FD,OUT046,1742.39557183193
FD,OUT027,2278.9416830327373
FD,OUT046,1060.8820132737164
FD,OUT035,2126.979905044802
FD,OUT013,2353.6252036140577
NC,OUT018,3741.635275820032
DR,OUT035,3973.949802079393
DR,OUT049,1317.714368708747
NC,OUT045,3800.0646573122117
FD,OUT013,1128.9745095881815
FD,OUT018,1233.9169364077582
FD,OUT046,2635.5637604932563
FD,OUT010,957.7463228369827
FD,OUT013,1939.7863341086095
FD,OUT018,2690.916091870375
FD,OUT027,4915.51604766807
FD,OUT010,0.0
FD,OUT013,1441.8630613976857
FD,OUT045,3272.7821890702435
FD,OUT018,2476.0735095080076
FD,OUT045,1831.602400834999
FD,OUT049,2915.1775682704138
FD,OUT049,947.865007732684
FD,OUT018,1510.8300818298453
FD,OUT018,2628.118970757385
FD,OUT013,1865.1311148164084
FD,OUT035,2800.8375653544863
FD,OUT046,3801.2565843444004
NC,OUT027,4500.919574911379
FD,OUT018,2099.557306594259
FD,OUT010,431.15514669663366
FD,OUT010,0.0
FD,OUT046,2908.1184749586546
FD,OUT017,2119.0368180708874
DR,OUT045,2638.112425552216
FD,OUT035,1708.9595861174062
FD,OUT027,2567.860575300053
FD,OUT035,1628.0903018913948
FD,OUT049,3747.467932213958
FD,OUT049,1787.9763383528339
FD,OUT013,2400.077867338921
NC,OUT017,1931.1095516723274
FD,OUT049,1182.252088235126
FD,OUT018,2137.915165922432
NC,OUT027,4427.727169594509
NC,OUT019,890.8793862857749
FD,OUT017,1614.190041284671
NC,OUT017,807.3495890556956
FD,OUT013,4014.597635338442
FD,OUT017,1844.581797353482
FD,OUT049,4080.271856561604
FD,OUT018,1467.1380174309863
FD,OUT013,2658.39866966462
FD,OUT010,0.0
FD,OUT019,0.0
FD,OUT045,838.8915386464573
FD,OUT046,3178.389876846125
FD,OUT049,3275.5121017411684
FD,OUT019,0.0
FD,OUT010,2259.1846241485673
FD,OUT045,3386.7094445372595
NC,OUT018,1176.1817976987857
FD,OUT027,3031.921682518456
FD,OUT049,3933.4440488493547
FD,OUT017,3757.3496766624417
FD,OUT017,2019.2702271485298
FD,OUT049,3603.8647646175386
FD,OUT045,2682.654432385572
NC,OUT045,3855.5036177493057
NC,OUT046,1271.0663353044167
NC,OUT018,2224.225960338218
FD,OUT046,4027.212590891203
NC,OUT045,2736.313575299274
FD,OUT013,1425.9856778495082
FD,OUT010,757.7072837106359
FD,OUT027,3502.2202682686175
FD,OUT035,2084.1685163199113
NC,OUT027,4078.000832415325
FD,OUT049,2962.838678261055
FD,OUT013,2547.435702031031
DR,OUT046,2264.0309561878935
FD,OUT010,1131.9638362816274
FD,OUT013,1423.092906756917
NC,OUT045,3524.6787332798576
FD,OUT035,895.8010411190216
FD,OUT018,3015.8250131129594
FD,OUT010,0.0
FD,OUT046,1769.8140238592703
FD,OUT027,3336.0534833937763
DR,OUT045,3348.132881888663
FD,OUT018,3241.158211194199
FD,OUT017,4005.9111782302098
FD,OUT019,0.0
NC,OUT017,1891.2610297880685
FD,OUT049,2914.3527054608394
FD,OUT045,2504.662884773997
FD,OUT019,0.0
FD,OUT035,4075.475505726051
FD,OUT045,2471.3894157650584
FD,OUT019,1555.7080397851246
FD,OUT045,1688.6369028007764
FD,OUT018,465.48973532600326
FD,OUT046,652.5962090222749
DR,OUT049,2173.474157583131
FD,OUT027,4903.599023884763
FD,OUT027,5300.048327243945
FD,OUT035,2861.3049312642734
DR,OUT027,2352.9097560027726
FD,OUT019,1171.2337621987717
FD,OUT035,3055.0561977677785
FD,OUT045,1292.9962016490927
FD,OUT017,3119.4308620429856
FD,OUT035,1756.0409927450983
FD,OUT017,1897.120136482642
FD,OUT019,1785.5350847287457
FD,OUT017,3224.321973516341
FD,OUT045,1848.9490105804873
FD,OUT049,3468.801946801592
FD,OUT017,2216.43091072382
FD,OUT017,3671.4879796713603
FD,OUT049,2590.871419319526
FD,OUT019,831.395613738154
FD,OUT049,1507.8835602700271
FD,OUT019,0.0
NC,OUT049,4209.667022650008
FD,OUT027,5350.9605388986465
FD,OUT018,2295.0219714091077
FD,OUT010,1252.0059120395524
FD,OUT046,3980.6337077238077
FD,OUT049,4275.018743798782
FD,OUT017,1152.0021021032753
NC,OUT013,1712.3069011995224
FD,OUT019,734.7817958039643
DR,OUT027,3819.7702622031
FD,OUT018,2282.5536835772655
FD,OUT018,1301.3856220544899
DR,OUT027,3556.2543556525943
NC,OUT019,442.96462941644927
FD,OUT049,2811.3066500621494
FD,OUT049,3310.5064175334883
NC,OUT045,2392.2849673470146
FD,OUT049,1160.9307811734218
DR,OUT018,3326.5583217817257
FD,OUT013,3087.4042289724916
FD,OUT049,3128.2123812639293
FD,OUT013,3735.5962322229807
FD,OUT027,4040.5842528807643
NC,OUT045,2278.447691784183
FD,OUT049,2098.1854263070613
DR,OUT013,3002.807583905563
DR,OUT045,1286.6385926396692
FD,OUT013,2636.5455768341935
FD,OUT018,1422.0737734290753
FD,OUT018,1529.2673239934757
FD,OUT027,3209.9376269501863
FD,OUT010,0.0
FD,OUT010,0.0
FD,OUT045,852.1514858422229
FD,OUT010,1816.5115865588045
FD,OUT035,2374.534220812114
NC,OUT017,2948.935255943061
FD,OUT019,434.454157646486
FD,OUT027,4000.967665006976
NC,OUT027,3196.8718390065305
FD,OUT017,1628.3348851447365
DR,OUT045,3033.972924527112
FD,OUT045,3665.1529994819894
FD,OUT046,681.1224627497011
FD,OUT046,3112.719617753961
FD,OUT017,2657.073625400203
FD,OUT013,4069.8840982676193
FD,OUT045,1324.4863708129487
FD,OUT045,2434.2702821025637
FD,OUT027,3547.2837459722373
FD,OUT045,2753.2098279882666
DR,OUT013,775.8881936538539
FD,OUT017,2097.5279784568415
FD,OUT013,2012.9181573944438
NC,OUT027,3322.27840293002
FD,OUT018,2252.001701013423
FD,OUT027,3411.132467837806
FD,OUT027,3383.9538347963557
FD,OUT018,2293.350870335116
FD,OUT049,2020.3834482191774
NC,OUT017,2164.4547099961624
DR,OUT027,4936.946092577667
FD,OUT013,2121.5614722531222
FD,OUT035,1690.9142378280271
FD,OUT046,832.6799034189096
FD,OUT010,748.1260046575048
FD,OUT010,660.4365344419891
FD,OUT046,1882.8320711895997
FD,OUT018,3192.9844363615102
FD,OUT018,3588.7733596496555
NC,OUT013,2406.1333179283406
FD,OUT010,397.7837209518359
NC,OUT049,1633.856770977458
FD,OUT049,958.9436209900778
NC,OUT027,2058.846403689957
FD,OUT019,0.0
FD,OUT010,1009.2521170792713
FD,OUT010,0.0
FD,OUT045,1783.1581742967799
FD,OUT013,2617.8537854565056
DR,OUT049,2895.8584604844755
FD,OUT013,2373.5123480142856
NC,OUT018,375.6338400018042
FD,OUT045,2997.8209058996417
FD,OUT049,1715.5693879654182
NC,OUT035,1093.4864200378165
FD,OUT017,2346.9651276541495
FD,OUT046,1816.102074417752
NC,OUT017,1507.6466187265883
FD,OUT049,1372.6098035178074
FD,OUT018,1103.6153764201463
FD,OUT010,0.0
DR,OUT013,2228.8578235801733
FD,OUT019,1960.5329581049398
FD,OUT045,1310.668392250393
NC,OUT018,3071.2173206323178
DR,OUT018,590.6794739825998
DR,OUT013,2422.1930207576293
DR,OUT027,4386.05476553384
FD,OUT035,3121.048967161381
FD,OUT045,1680.3720395992552
FD,OUT045,2229.375161530908
FD,OUT045,2065.1743033955945
FD,OUT049,2803.4381935314514
FD,OUT046,1093.6069907697727
FD,OUT019,1002.9203112618657
NC,OUT027,2658.818030300561
FD,OUT035,4288.3386034503865
DR,OUT018,1642.8329752150535
NC,OUT035,2891.902171293595
FD,OUT049,2917.8294574289366
NC,OUT046,3825.6059609685844
DR,OUT013,764.831403416455
FD,OUT019,0.0
FD,OUT027,4317.96055251275
NC,OUT027,4206.886928771603
FD,OUT049,2975.662949991422
FD,OUT017,3029.965462045593
DR,OUT013,3710.358630739731
FD,OUT046,3657.139967900421
FD,OUT013,757.4358320194085
FD,OUT017,1780.5740347289116
FD,OUT035,2846.5981701138203
FD,OUT046,1677.1334586493429
FD,OUT046,2577.3820282776355
NC,OUT027,3528.7074132713437
FD,OUT017,759.8545306339479
FD,OUT018,3627.888293199532
FD,OUT013,4130.059780260667
FD,OUT018,1771.6177793518336
FD,OUT010,0.0
NC,OUT045,1668.561530247176
FD,OUT013,1800.4555662776318
FD,OUT018,374.01121582614064
NC,OUT049,1960.4613324383815
FD,OUT013,2795.0037550135785
FD,OUT049,1845.357198151944
FD,OUT027,5621.410941964291
NC,OUT035,2157.5857084650706
NC,OUT019,1688.5921761759093
FD,OUT018,2424.9120068334532
FD,OUT045,2945.097188096583
FD,OUT046,1973.8726696443994
FD,OUT013,2998.8812662412083
FD,OUT045,3353.7193602601515
NC,OUT010,0.0
NC,OUT027,5559.753390470587
FD,OUT035,1575.0809132814197
NC,OUT045,1894.4452702432338
NC,OUT049,2413.10677311623
FD,OUT019,498.05130555289634
FD,OUT046,1689.2034670669875
FD,OUT045,3810.977487524624
FD,OUT045,683.7668610075275
FD,OUT035,2960.1036986142526
FD,OUT045,2444.5138663663993
FD,OUT046,3515.1655763089957
FD,OUT035,2057.7913933717546
DR,OUT049,1809.8795439903747
FD,OUT019,1637.7034736061535
FD,OUT027,2499.899558954455
FD,OUT046,3046.459539829546
FD,OUT035,740.2594968158232
FD,OUT017,3642.613395396504
NC,OUT027,3635.102885787201
FD,OUT017,3263.943825454754
FD,OUT018,3544.3085316441666
FD,OUT017,2792.1771927934574
NC,OUT035,3570.103412278295
NC,OUT035,906.9628074939387
FD,OUT045,1616.4624204178826
NC,OUT017,2432.913107060255
NC,OUT013,2533.625525434015
FD,OUT010,7.950334072314718
FD,OUT017,3006.676163772966
NC,OUT045,614.5168321463912
FD,OUT049,1633.0948491942834
NC,OUT010,2175.5760409847276
FD,OUT019,0.0
FD,OUT035,2719.0407776818192
FD,OUT018,3459.631917837054
FD,OUT013,2907.4709914447817
DR,OUT045,1052.875407305345
FD,OUT013,1641.2204444232298
FD,OUT027,4571.09298416757
NC,OUT013,2758.374306884637
FD,OUT045,1595.7610470152385
NC,OUT049,1738.900328761292
FD,OUT049,3173.9081131253547
DR,OUT010,495.8962117157132
FD,OUT027,2979.323292506806
NC,OUT049,2033.4233284412735
FD,OUT018,3001.226098169166
FD,OUT049,987.022274150911
FD,OUT017,3708.6111822854436
FD,OUT049,1844.8893554422293
NC,OUT045,1837.7335165850557
FD,OUT035,2035.0778567160173
FD,OUT045,2842.4313841252806
FD,OUT046,2429.734796509525
DR,OUT017,3652.9328930671536
NC,OUT017,2137.5026252613293
FD,OUT035,4168.595155534038
NC,OUT027,3457.9140244826367
FD,OUT035,4213.811684159714
FD,OUT017,983.1262136215823
NC,OUT027,5278.714557835735
FD,OUT018,2894.781574404372
FD,OUT046,2674.344450905809
DR,OUT035,981.836202506855
FD,OUT049,2097.7317782413024
FD,OUT049,2900.761063115881
NC,OUT013,1969.050060767938
NC,OUT049,2163.205023461915
DR,OUT013,2294.7625789379713
FD,OUT018,976.4770750297826
FD,OUT045,3583.240454166884
DR,OUT013,2072.6640433354255
NC,OUT017,2977.2167784653057
FD,OUT049,1603.7312126674003
FD,OUT018,2692.950369777591
FD,OUT035,2132.3964896873513
FD,OUT027,4385.1571326068015
FD,OUT045,2124.853437982722
NC,OUT049,1754.1413380157685
FD,OUT018,2400.6357563623897
FD,OUT049,1496.1898126946205
DR,OUT018,3213.4757504233994
FD,OUT046,2834.1756735347053
FD,OUT010,0.0
FD,OUT019,725.1373083687515
FD,OUT017,2846.328490664605
FD,OUT018,2793.763442691902
FD,OUT017,2989.3105157945965
FD,OUT046,2482.629801973254
FD,OUT027,4030.262725977608
FD,OUT027,2375.529456897443
FD,OUT013,1936.845873698419
DR,OUT035,1364.460078955411
DR,OUT045,637.3879988265444
FD,OUT018,2478.059186008736
NC,OUT010,1817.9711161516211
FD,OUT046,1500.9478401089639
NC,OUT018,3046.7708247629416
FD,OUT035,787.0938588350709
FD,OUT045,1817.6583682229175
FD,OUT017,2939.7537337348654
FD,OUT018,3660.1786804092426
FD,OUT018,618.31395222675
FD,OUT017,4007.668949385466
FD,OUT049,2075.6080949769685
FD,OUT018,1241.4881554034177
FD,OUT017,3594.9598131510247
FD,OUT013,852.8604369539744
NC,OUT018,2582.312850896795
FD,OUT010,1457.3995657272985
FD,OUT045,1491.034029601406
NC,OUT017,3120.6004012264966
FD,OUT018,2427.7286235958463
FD,OUT019,0.0
FD,OUT045,1363.2195591418254
FD,OUT017,2914.129562047473
FD,OUT049,2623.7423371083037
FD,OUT046,2974.1899260845157
NC,OUT049,2844.9869833222506
FD,OUT046,2358.383813136298
DR,OUT046,1996.4624279426193
NC,OUT049,3036.144488092569
FD,OUT049,1675.6346049843196
FD,OUT049,1657.4337727640768
FD,OUT046,2326.1941966741656
FD,OUT049,3005.480276266503
FD,OUT017,2669.5765068270084
FD,OUT017,3840.3030917387623
FD,OUT045,2528.1222938595147
FD,OUT013,2922.4489634837637
NC,OUT010,0.0
FD,OUT035,4323.92536879085
FD,OUT010,0.0
NC,OUT018,1542.981382217519
DR,OUT019,1926.2935939613728
DR,OUT035,1531.2825582093533
FD,OUT035,2728.533218629984
FD,OUT035,3245.9937212203004
NC,OUT046,668.867235124286
FD,OUT018,564.8165251289836
FD,OUT013,1451.7917267790858
DR,OUT010,0.0
FD,OUT045,3595.987401153006
FD,OUT046,1827.4357634050918
FD,OUT013,2062.8927170777533
FD,OUT027,3149.3980968785036
FD,OUT045,2848.8250053197735
FD,OUT045,2724.880471217304
FD,OUT049,2653.5266403403875
DR,OUT018,590.7292929538992
FD,OUT027,4223.605493278916
FD,OUT019,711.8620313770575
NC,OUT018,245.264851605795
DR,OUT046,842.5330616871779
FD,OUT013,2699.1137379229535
DR,OUT010,1640.462652559911
FD,OUT018,1806.6508457638836
FD,OUT045,754.9269405583145
NC,OUT018,1749.6607831641334
NC,OUT018,2696.7896882935675
FD,OUT027,3448.3029553454253
FD,OUT035,4161.680756867029
NC,OUT027,5460.31551702965
FD,OUT049,2976.674285703018
DR,OUT017,690.639617534524
FD,OUT018,3821.4548983439227
